n,k,model,status,blocks,qubits,toffolis,joint_measure,measure,automorphism,cross_module,relay_hops,analytic_total_error,total_error,p_fail
135,3,gross_1e-3,analytic,45,495,267,1253,4703,3204,153,1253,2.573302908,2.573302908,0.9237168274297627
135,3,gross_1e-4,analytic,45,495,267,1253,4703,3204,153,1253,6.501971896560001e-05,6.501971896560001e-05,6.501760522947819e-05
135,4,gross_1e-3,analytic,34,374,267,1017,4247,3204,131,1017,2.0938813080000003,2.0938813080000003,0.8767920016108248
135,4,gross_1e-4,analytic,34,374,267,1017,4247,3204,131,1017,5.3207558965599996e-05,5.3207558965599996e-05,5.320614346848718e-05
135,5,gross_1e-3,analytic,27,297,267,983,4170,3204,113,983,2.024686608,2.024686608,0.8679647845151306
135,5,gross_1e-4,analytic,27,297,267,983,4170,3204,113,983,5.1494388965599996e-05,5.1494388965599996e-05,5.1493063152330265e-05
145,3,gross_1e-3,analytic,49,539,287,1271,4891,3444,166,1271,2.6117621879999997,2.6117621879999997,0.9265949238209331
145,3,gross_1e-4,analytic,49,539,287,1271,4891,3444,166,1271,6.60754281016e-05,6.60754281016e-05,6.607324516860746e-05
145,4,gross_1e-3,analytic,37,407,287,1143,4629,3444,142,1143,2.3515739879999997,2.3515739879999997,0.9047808296277007
145,4,gross_1e-4,analytic,37,407,287,1143,4629,3444,142,1143,5.96540081016e-05,5.96540081016e-05,5.9652228836637455e-05
145,5,gross_1e-3,analytic,29,319,287,1133,4640,3444,123,1133,2.331596088,2.331596088,0.9028594216204489
145,5,gross_1e-4,analytic,29,319,287,1133,4640,3444,123,1133,5.91841181016e-05,5.91841181016e-05,5.918236675628297e-05
155,3,gross_1e-3,analytic,52,572,307,1452,5425,3684,177,1452,2.9816920679999996,2.9816920679999996,0.9492930383925757
155,3,gross_1e-4,analytic,52,572,307,1452,5425,3684,177,1452,7.532089723759999e-05,7.532089723759999e-05,7.531806069005498e-05
155,4,gross_1e-3,analytic,39,429,307,1241,5034,3684,153,1241,2.553241968,2.553241968,0.9221710623714057
155,4,gross_1e-4,analytic,39,429,307,1241,5034,3684,153,1241,6.47768872376e-05,6.47768872376e-05,6.477478926036895e-05
155,5,gross_1e-3,analytic,31,341,307,1197,4933,3684,129,1197,2.463680868,2.463680868,0.9148789457491765
155,5,gross_1e-4,analytic,31,341,307,1197,4933,3684,129,1197,6.255847723759999e-05,6.255847723759999e-05,6.255652049691474e-05
165,3,gross_1e-3,analytic,55,605,327,1496,5663,3924,191,1496,3.0729663480000005,3.0729663480000005,0.9537163424092444
165,3,gross_1e-4,analytic,55,605,327,1496,5663,3924,191,1496,7.76777063736e-05,7.76777063736e-05,7.767468953867596e-05
165,4,gross_1e-3,analytic,42,462,327,1323,5335,3924,161,1323,2.7215955480000003,2.7215955480000003,0.9342302680997515
165,4,gross_1e-4,analytic,42,462,327,1323,5335,3924,161,1323,6.90251263736e-05,6.90251263736e-05,6.902274419440246e-05
165,5,gross_1e-3,analytic,33,363,327,1277,5257,3924,139,1277,2.628269748,2.628269748,0.9277967159022935
165,5,gross_1e-4,analytic,33,363,327,1277,5257,3924,139,1277,6.673374637360001e-05,6.673374637360001e-05,6.673151972669267e-05
175,3,gross_1e-3,analytic,59,649,347,1617,6073,4164,201,1617,3.3209198280000005,3.3209198280000005,0.9638804073434104
175,3,gross_1e-4,analytic,59,649,347,1617,6073,4164,201,1617,8.39119355096e-05,8.39119355096e-05,8.390841500161006e-05
175,4,gross_1e-3,analytic,44,484,347,1463,5818,4164,169,1463,3.0085493280000004,3.0085493280000004,0.9506367632903195
175,4,gross_1e-4,analytic,44,484,347,1463,5818,4164,169,1463,7.62469855096e-05,7.62469855096e-05,7.624407878203954e-05
175,5,gross_1e-3,analytic,35,385,347,1329,5525,4164,147,1329,2.735957028,2.735957028,0.9351680685691448
175,5,gross_1e-4,analytic,35,385,347,1329,5525,4164,147,1329,6.95056555096e-05,6.95056555096e-05,6.950324004750819e-05
185,3,gross_1e-3,analytic,62,682,367,1721,6449,4404,213,1721,3.534325908,3.534325908,0.9708215806994275
185,3,gross_1e-4,analytic,62,682,367,1721,6449,4404,213,1721,8.92941246456e-05,8.92941246456e-05,8.929013804392927e-05
185,4,gross_1e-3,analytic,47,517,367,1505,5994,4404,179,1505,3.0951154080000003,3.0951154080000003,0.9547302123368856
185,4,gross_1e-4,analytic,47,517,367,1505,5994,4404,179,1505,7.84449746456e-05,7.84449746456e-05,7.844189791905709e-05
185,5,gross_1e-3,analytic,37,407,367,1449,5930,4404,157,1449,2.981845008,2.981845008,0.94930079292228
185,5,gross_1e-4,analytic,37,407,367,1449,5930,4404,157,1449,7.56867346456e-05,7.56867346456e-05,7.568387047696135e-05
195,3,gross_1e-3,analytic,65,715,387,1787,6729,4644,222,1787,3.670286388,3.670286388,0.9745308251639282
195,3,gross_1e-4,analytic,65,715,387,1787,6729,4644,222,1787,9.275155378160001e-05,9.275155378160001e-05,9.274725248920035e-05
195,4,gross_1e-3,analytic,49,539,387,1642,6509,4644,191,1642,3.376394388,3.376394388,0.9658295617718967
195,4,gross_1e-4,analytic,49,539,387,1642,6509,4644,191,1642,8.555485378160001e-05,8.555485378160001e-05,8.555119406949974e-05
195,5,gross_1e-3,analytic,39,429,387,1535,6262,4644,163,1535,3.158582688,3.158582688,0.9575140857755596
195,5,gross_1e-4,analytic,39,429,387,1535,6262,4644,163,1535,8.015868378160001e-05,8.015868378160001e-05,8.01554711601371e-05
205,3,gross_1e-3,analytic,69,759,407,1959,7263,4884,234,1959,4.022126268000001,4.022126268000001,0.9820851673212838
205,3,gross_1e-4,analytic,69,759,407,1959,7263,4884,234,1959,0.0001015641229176,0.0001015641229176,0.00010155896545671617
205,4,gross_1e-3,analytic,52,572,407,1703,6757,4884,203,1703,3.5019496680000004,3.5019496680000004,0.9698614340938777
205,4,gross_1e-4,analytic,52,572,407,1703,6757,4884,203,1703,8.87394629176e-05,8.87394629176e-05,8.873552568788856e-05
205,5,gross_1e-3,analytic,41,451,407,1679,6729,4884,173,1679,3.453398868,3.453398868,0.9683620796895122
205,5,gross_1e-4,analytic,41,451,407,1679,6729,4884,173,1679,8.75567829176e-05,8.75567829176e-05,8.755294993434415e-05
215,3,gross_1e-3,analytic,72,792,427,2125,7749,5124,248,2125,4.361373348000001,4.361373348000001,0.9872391494785397
